AssetKey,Pack,SourceURL,ExactSourcePath,SHA256,LocalFile,Use,RobloxAssetId,CreatorGroup,Status
A04.Check,A04,https://kenney.nl/assets/ui-pack,PNG/Grey/Default/check_square_grey_checkmark.png,365956f4131fd759b3fec4d58948c778906d97a4530a2e452ff1359ab87973f8,assets/selected/A04/PNG/Grey/Default/check_square_grey_checkmark.png,Checked setting/selection,rbxassetid://PENDING_A04_Check,PENDING_OWNER,Source verified; import/tint/upload pending
A04.Cross,A04,https://kenney.nl/assets/ui-pack,PNG/Grey/Default/check_square_grey_cross.png,b21cdd8a8ca6a6384a52e2c9c283cdecfc59221ed365b85df8c811c0ffdae1fa,assets/selected/A04/PNG/Grey/Default/check_square_grey_cross.png,Invalid placement/error,rbxassetid://PENDING_A04_Cross,PENDING_OWNER,Source verified; import/tint/upload pending
A04.Slider,A04,https://kenney.nl/assets/ui-pack,PNG/Grey/Default/slide_horizontal_grey.png,a80f54d81912dcac6827b8b71bb81f6b8b8a0c190573006aee9612d6bbd91618,assets/selected/A04/PNG/Grey/Default/slide_horizontal_grey.png,Optional sound slider track,rbxassetid://PENDING_A04_Slider,PENDING_OWNER,Source verified; import/tint/upload pending
A04.Handle,A04,https://kenney.nl/assets/ui-pack,PNG/Grey/Default/slide_hangle.png,ed8a8c411f48f0019bf63a1f14baab82ca9add846f1c1d44307baaa3306c2839,assets/selected/A04/PNG/Grey/Default/slide_hangle.png,Optional sound slider handle,rbxassetid://PENDING_A04_Handle,PENDING_OWNER,Source verified; import/tint/upload pending
A05.Rotate,A05,https://kenney.nl/assets/input-prompts,Keyboard & Mouse/Default/keyboard_r.png,153d158ec02c5b40cdded08fbf74389d1713fadf5b22029e77f2c518dd4c4973,assets/selected/A05/Keyboard & Mouse/Default/keyboard_r.png,Rotate keyboard prompt,rbxassetid://PENDING_A05_Rotate,PENDING_OWNER,Source verified; import/tint/upload pending
A05.Cancel,A05,https://kenney.nl/assets/input-prompts,Keyboard & Mouse/Default/keyboard_escape.png,8874e394d80161d6188ffce8b715357fea8059a9d6627a28769a91e3855bcbd7,assets/selected/A05/Keyboard & Mouse/Default/keyboard_escape.png,Close/cancel keyboard prompt,rbxassetid://PENDING_A05_Cancel,PENDING_OWNER,Source verified; import/tint/upload pending
A05.Mouse,A05,https://kenney.nl/assets/input-prompts,Keyboard & Mouse/Default/mouse_left.png,80101392b423671e2812d2b64310bbd17f7c95c796f0c704dcf6c1a70d98cf35,assets/selected/A05/Keyboard & Mouse/Default/mouse_left.png,Mouse select prompt,rbxassetid://PENDING_A05_Mouse,PENDING_OWNER,Source verified; import/tint/upload pending
A05.Touch,A05,https://kenney.nl/assets/input-prompts,Touch/Default/touch_tap.png,0ec747c16b98595d7dd3155316b9eac1ef9f2d074e8792d66c6f84504523620d,assets/selected/A05/Touch/Default/touch_tap.png,Touch select/place prompt,rbxassetid://PENDING_A05_Touch,PENDING_OWNER,Source verified; import/tint/upload pending
A05.Confirm,A05,https://kenney.nl/assets/input-prompts,Generic/Default/generic_button_circle.png,2c01fa33aa4ab6554282578b61e94a24e092fb3b71015361b36b677f306465e0,assets/selected/A05/Generic/Default/generic_button_circle.png,Generic controller confirm prompt,rbxassetid://PENDING_A05_Confirm,PENDING_OWNER,Source verified; import/tint/upload pending
A05.Back,A05,https://kenney.nl/assets/input-prompts,Generic/Default/generic_button_square.png,75ce5757ce33d3e5db33b828ef2716196e642f214f506baf7db806e6b5b4aefe,assets/selected/A05/Generic/Default/generic_button_square.png,Generic controller back prompt,rbxassetid://PENDING_A05_Back,PENDING_OWNER,Source verified; import/tint/upload pending
A06.Place,A06,https://kenney.nl/assets/interface-sounds,Audio/click_001.ogg,ccfb7fa0cccdd9faec0eb16033c732b1e308d139d80f799161495d58f7adcdb9,assets/selected/A06/Audio/click_001.ogg,Confirmed placement,rbxassetid://PENDING_A06_Place,PENDING_OWNER,Source verified; import/tint/upload pending
A06.Cancel,A06,https://kenney.nl/assets/interface-sounds,Audio/back_001.ogg,07db973f79f6ae0f2edc34561e7592e24d0577455919fb602cb8ecc0da991dcf,assets/selected/A06/Audio/back_001.ogg,Cancel / close,rbxassetid://PENDING_A06_Cancel,PENDING_OWNER,Source verified; import/tint/upload pending
A06.Collect,A06,https://kenney.nl/assets/interface-sounds,Audio/confirmation_001.ogg,063564703b6094d70718a3e787a55cc9141611e4ecd6b6637f8828f79b4a8c3a,assets/selected/A06/Audio/confirmation_001.ogg,Confirmed collection,rbxassetid://PENDING_A06_Collect,PENDING_OWNER,Source verified; import/tint/upload pending
A06.Upgrade,A06,https://kenney.nl/assets/interface-sounds,Audio/confirmation_002.ogg,33b17a9a9a2397c62b285c52c33a907fdffb476909c99e42dde603f6a7a8b12c,assets/selected/A06/Audio/confirmation_002.ogg,Confirmed upgrade,rbxassetid://PENDING_A06_Upgrade,PENDING_OWNER,Source verified; import/tint/upload pending
A06.Error,A06,https://kenney.nl/assets/interface-sounds,Audio/error_001.ogg,46e67425d16339772e8d328fb36a49426c9467418686e11beeb71ff84b0f6433,assets/selected/A06/Audio/error_001.ogg,Server rejection,rbxassetid://PENDING_A06_Error,PENDING_OWNER,Source verified; import/tint/upload pending
A07.Complete,A07,https://kenney.nl/assets/particle-pack,PNG (Transparent)/circle_01.png,4b2d03683bf0fe4a946567adc3bd86b8ba045da84cee58dc2cf8aef63bbfaa06,assets/selected/A07/PNG (Transparent)/circle_01.png,Production completion; max 8 particles,rbxassetid://PENDING_A07_Complete,PENDING_OWNER,Source verified; import/tint/upload pending
A07.Reveal,A07,https://kenney.nl/assets/particle-pack,PNG (Transparent)/star_01.png,3ba3999c944a0767677449412d306c1f230daa1743b31f929533cf77a22ecf5d,assets/selected/A07/PNG (Transparent)/star_01.png,Drop reveal; max 12 particles,rbxassetid://PENDING_A07_Reveal,PENDING_OWNER,Source verified; import/tint/upload pending
A07.Award,A07,https://kenney.nl/assets/particle-pack,PNG (Transparent)/star_04.png,6485ac16c773663bd39346f3bedae04465ac14c661eb47cc5cfa935cdbf6c2ec,assets/selected/A07/PNG (Transparent)/star_04.png,Later Award Show; bounded burst,rbxassetid://PENDING_A07_Award,PENDING_OWNER,Source verified; import/tint/upload pending
O.PulseMark,Original,,,,,PulseMark,rbxassetid://PENDING_PulseMark,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.PulseWordmark,Original,,,,,PulseWordmark,rbxassetid://PENDING_PulseWordmark,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.PulseMotif,Original,,,,,PulseMotif,rbxassetid://PENDING_PulseMotif,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Camera1,Original,,,,,Camera1,rbxassetid://PENDING_Camera1,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Camera2,Original,,,,,Camera2,rbxassetid://PENDING_Camera2,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Camera3,Original,,,,,Camera3,rbxassetid://PENDING_Camera3,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Computer1,Original,,,,,Computer1,rbxassetid://PENDING_Computer1,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Computer2,Original,,,,,Computer2,rbxassetid://PENDING_Computer2,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Computer3,Original,,,,,Computer3,rbxassetid://PENDING_Computer3,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Light1,Original,,,,,Light1,rbxassetid://PENDING_Light1,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Light2,Original,,,,,Light2,rbxassetid://PENDING_Light2,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Light3,Original,,,,,Light3,rbxassetid://PENDING_Light3,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Counter,Original,,,,,Counter,rbxassetid://PENDING_Counter,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Plinth,Original,,,,,Plinth,rbxassetid://PENDING_Plinth,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.ChartBoard,Original,,,,,ChartBoard,rbxassetid://PENDING_ChartBoard,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.CrewRemy,Original,,,,,CrewRemy,rbxassetid://PENDING_CrewRemy,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.CrewAri,Original,,,,,CrewAri,rbxassetid://PENDING_CrewAri,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.RemyWork,Original,,,,,RemyWork,rbxassetid://PENDING_RemyWork,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.RemyCelebrate,Original,,,,,RemyCelebrate,rbxassetid://PENDING_RemyCelebrate,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.AriWork,Original,,,,,AriWork,rbxassetid://PENDING_AriWork,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.AriCelebrate,Original,,,,,AriCelebrate,rbxassetid://PENDING_AriCelebrate,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.CategoryGaming,Original,,,,,CategoryGaming,rbxassetid://PENDING_CategoryGaming,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.CategoryComedy,Original,,,,,CategoryComedy,rbxassetid://PENDING_CategoryComedy,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.CategoryMusic,Original,,,,,CategoryMusic,rbxassetid://PENDING_CategoryMusic,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.RarityCircle,Original,,,,,RarityCircle,rbxassetid://PENDING_RarityCircle,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.RarityTriangle,Original,,,,,RarityTriangle,rbxassetid://PENDING_RarityTriangle,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.RarityDiamond,Original,,,,,RarityDiamond,rbxassetid://PENDING_RarityDiamond,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.RarityStar,Original,,,,,RarityStar,rbxassetid://PENDING_RarityStar,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Rug,Original,,,,,Rug,rbxassetid://PENDING_Rug,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.Backdrop,Original,,,,,Backdrop,rbxassetid://PENDING_Backdrop,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
O.WallPanel,Original,,,,,WallPanel,rbxassetid://PENDING_WallPanel,PENDING_OWNER,Specification only; geometry/image/animation work as applicable
