Key,Context,Example,Source,en-us
copy.46,,,"Fixture preview only. The live server supplies equipment, crew and theme contributions.","Fixture preview only. The live server supplies equipment, crew and theme contributions."
copy.47,,,Setup quality 28 / 100 · Common,Setup quality 28 / 100 · Common
copy.48,,,First production: guaranteed Common · Studio Series · not tradable.,First production: guaranteed Common · Studio Series · not tradable.
copy.49,,,Refresh production preview,Refresh production preview
copy.50,,,Start this production with the reviewed category and setup?,Start this production with the reviewed category and setup?
copy.51,,,Start production,Start production
copy.52,,,All categories,All categories
copy.53,,,Gaming,Gaming
copy.54,,,Comedy,Comedy
copy.55,,,Music,Music
copy.56,,,Category filter,Category filter
copy.57,,,All series,All series
copy.58,,,Studio Series,Studio Series
copy.59,,,Weekly Series,Weekly Series
copy.60,,,Series filter,Series filter
copy.61,,,All rarities,All rarities
copy.62,,,Common,Common
copy.63,,,Uncommon,Uncommon
copy.64,,,Rare,Rare
copy.65,,,Epic,Epic
copy.66,,,Rarity filter,Rarity filter
copy.67,,,Apply filters,Apply filters
copy.68,,,Permanent rarity · Studio Series · not tradable,Permanent rarity · Studio Series · not tradable
copy.69,,,Favourite this Drop,Favourite this Drop
copy.70,,,Preview salvage reward,Preview salvage reward
copy.71,,,Request an authoritative salvage reward preview first.,Request an authoritative salvage reward preview first.
copy.72,,,Permanently salvage the reviewed Drop for the exact Credits shown by the server?,Permanently salvage the reviewed Drop for the exact Credits shown by the server?
copy.73,,,Confirm salvage,Confirm salvage
copy.74,,,Weekly Series · preview edition,Weekly Series · preview edition
copy.75,,,Chart Freeze,Chart Freeze
copy.76,,,Preview data · not connected to a live chart,Preview data · not connected to a live chart
copy.77,,,Gaming · committed productions,Gaming · committed productions
copy.78,,,Comedy · committed productions,Comedy · committed productions
copy.79,,,Music · committed productions,Music · committed productions
copy.80,,,Interest is a published game rule. Supply counts committed productions. Final rarity is assigned after settlement.,Interest is a published game rule. Supply counts committed productions. Final rarity is assigned after settlement.
copy.81,,,Refresh chart,Refresh chart
copy.82,,,"Retains the plot and permanent upgrades. Confirmed contributions: 1,200 Credits.","Retains the plot and permanent upgrades. Confirmed contributions: 1,200 Credits."
copy.83,,,Host · Remy Studio · Online,Host · Remy Studio · Online
copy.84,,,Confirmed contributions: 800 Credits. Crew XP belongs to the assigned crew owner.,Confirmed contributions: 800 Credits. Crew XP belongs to the assigned crew owner.
copy.85,,,Co-owner · Ari Studio · Online,Co-owner · Ari Studio · Online
copy.86,,,Shared weekly production use,Shared weekly production use
copy.87,,,Your remaining account allowance: supplied by server. Forming a partnership gives no extra allowance.,Your remaining account allowance: supplied by server. Forming a partnership gives no extra allowance.
copy.88,,,Both players must see their exact contribution and confirm.,Both players must see their exact contribution and confirm.
copy.89,,,Upgrade vote · fixture review,Upgrade vote · fixture review
copy.90,,,Vote deadline,Vote deadline
copy.91,,,Approve upgrade,Approve upgrade
copy.92,,,Decline upgrade,Decline upgrade
copy.93,,,Review leaving partnership,Review leaving partnership
copy.94,,,Request the refund summary and wait for the server cooling period.,Request the refund summary and wait for the server cooling period.
copy.95,,,Leave the partnership? Review what each player retains and the server-calculated refund.,Leave the partnership? Review what each player retains and the server-calculated refund.
copy.96,,,Confirm dissolution,Confirm dissolution
copy.97,,,Browse,Browse
copy.98,,,My listings,My listings
copy.99,,,Offers,Offers
copy.100,,,Marketplace view,Marketplace view
copy.101,,,Refresh results,Refresh results
copy.102,,,"Fixture listing only. Final rarity confirmed; original creator Ari Studio, current owner Remy Studio. Quality 65 · Created 6 Sep 2026, 12:00 UTC · ID PREVIEW-W01.","Fixture listing only. Final rarity confirmed; original creator Ari Studio, current owner Remy Studio. Quality 65 · Created 6 Sep 2026, 12:00 UTC · ID PREVIEW-W01."
copy.103,,,Music · Weekly Series · Rare,Music · Weekly Series · Rare
copy.104,,,Provenance: original creator and current owner shown. A complete ownership history is not available in this preview.,Provenance: original creator and current owner shown. A complete ownership history is not available in this preview.
copy.105,,,Item for item,Item for item
copy.106,,,Open to offers,Open to offers
copy.107,,,Create listing type,Create listing type
copy.108,,,Credit listings are hidden until explicitly enabled for the release.,Credit listings are hidden until explicitly enabled for the release.
copy.109,,,Gaming · Weekly · Common,Gaming · Weekly · Common
copy.110,,,Comedy · Weekly · Uncommon,Comedy · Weekly · Uncommon
copy.111,,,Choose up to four offered Drops,Choose up to four offered Drops
copy.112,,,Review new listing,Review new listing
copy.113,,,Send offer,Send offer
copy.114,,,Review incoming offer,Review incoming offer
copy.115,,,Report this trade,Report this trade
copy.116,,,Visit marketplace,Visit marketplace
copy.117,,,Return to studio,Return to studio
copy.118,,,Open a current server trade review before confirming.,Open a current server trade review before confirming.
copy.119,,,Confirm the exact reviewed items and terms on both sides?,Confirm the exact reviewed items and terms on both sides?
copy.120,,,Confirm reviewed trade,Confirm reviewed trade
copy.121,,,The live server validates the selected context and target.,The live server validates the selected context and target.
copy.122,,,"Selected trade, studio or player","Selected trade, studio or player"
copy.123,,,Scam attempt,Scam attempt
copy.124,,,Harassment,Harassment
copy.125,,,Offensive name,Offensive name
copy.126,,,Other,Other
copy.127,,,What happened?,What happened?
copy.128,,,Optional details · up to 200 characters,Optional details · up to 200 characters
copy.129,,,Do not include personal information. A report is a request for review.,Do not include personal information. A report is a request for review.
copy.130,,,"Block trade offers, partnership requests and studio visits from this player?","Block trade offers, partnership requests and studio visits from this player?"
copy.131,,,Block this player in this experience,Block this player in this experience
copy.132,,,Send report,Send report
copy.133,,,Toggle reduced effects,Toggle reduced effects
copy.134,,,Reduced effects removes particles and rapid motion. Roblox reduced motion is respected too.,Reduced effects removes particles and rapid motion. Roblox reduced motion is respected too.
copy.135,,,Sound −10%,Sound −10%
copy.136,,,Sound +10%,Sound +10%
copy.137,,,Use Roblox language,Use Roblox language
copy.138,,,English,English
copy.139,,,Language,Language
copy.140,,,No blocked players in this preview. Live rows provide individual Unblock actions.,No blocked players in this preview. Live rows provide individual Unblock actions.
copy.141,,,Blocked players,Blocked players
copy.142,,,Save preferences,Save preferences
